MSN,YYYYMM,Value,Column_Order,Description,Unit
NGWPUUS,199013,1.71,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199013,3.03,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199013,5.8,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199013,99.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199013,4.83,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199013,86.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199013,2.93,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199013,35.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199013,3.39,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199013,2.38,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199013,76.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199101,1.96,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199101,3.08,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199101,5.54,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199101,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199101,4.94,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199101,89.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199101,3.25,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199101,36.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199101,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199101,2.7,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199101,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199102,1.62,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199102,2.94,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199102,5.56,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199102,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199102,4.94,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199102,88.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199102,2.97,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199102,36.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199102,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199102,2.35,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
