"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",199912,6.41,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-12-01
"ESTCUUS",200001,6.4,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-01-01
"ESTCUUS",200002,6.39,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-02-01
"ESTCUUS",200003,6.44,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-03-01
"ESTCUUS",200004,6.43,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-04-01
"ESTCUUS",200005,6.64,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-05-01
"ESTCUUS",200006,7.06,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-06-01
"ESTCUUS",200007,7.25,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-07-01
"ESTCUUS",200008,7.34,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-08-01
"ESTCUUS",200009,7.11,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-09-01
"ESTCUUS",200010,6.94,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-10-01
"ESTCUUS",200011,6.66,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-11-01
"ESTCUUS",200012,6.85,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2000-12-01
"ESTCUUS",200101,6.75,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-01-01
"ESTCUUS",200102,6.87,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-02-01
"ESTCUUS",200103,7.01,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-03-01
"ESTCUUS",200104,7.02,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-04-01
"ESTCUUS",200105,7.17,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-05-01
"ESTCUUS",200106,7.58,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-06-01
"ESTCUUS",200107,7.87,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-07-01
"ESTCUUS",200108,7.84,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-08-01
"ESTCUUS",200109,7.62,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-09-01
"ESTCUUS",200110,7.43,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2001-10-01
